날짜,평균기온(℃)
1907,5.103260869565217
1908,10.427322404371585
1909,10.608767123287674
1910,10.412054794520548
1911,10.654794520547949
1912,10.123770491803283
1913,10.08602739726027
1914,12.029041095890419
1915,10.898356164383568
1916,10.911202185792355
1917,9.858630136986298
1918,10.540273972602742
1919,11.151232876712337
1920,11.408469945355197
1921,10.969315068493147
1922,10.8731506849315
1923,10.698630136986296
1924,11.070218579234979
1925,10.78739726027397
1926,10.557260273972602
1927,11.068219178082186
1928,11.126229508196735
1929,11.489863013698631
1930,11.793698630136985
1931,10.956438356164389
1932,11.67568306010928
1933,10.586027397260272
1934,10.199999999999996
1935,11.269041095890405
1936,9.77786885245902
1937,11.455342465753436
1938,11.013424657534253
1939,11.781095890410947
1940,10.772404371584695
1941,11.222739726027394
1942,10.97342465753425
1943,11.723287671232884
1944,10.891803278688524
1945,10.437808219178082
1946,11.387671232876722
1947,9.655616438356162
1948,11.758469945355193
1949,11.700000000000005
1950,13.478189300411522
1953,0.6419354838709679
1954,11.487945205479448
1955,11.512876712328785
1956,10.113387978142073
1957,10.516438356164384
1958,11.63726027397261
1959,12.079726027397259
1960,12.104644808743185
1961,12.454520547945204
1962,11.756986301369851
1963,11.312876712328764
1964,12.221038251366119
1965,11.395890410958911
1966,11.577808219178076
1967,11.676164383561638
1968,11.788251366120221
1969,10.928493150684938
1970,11.421643835616443
1971,11.551232876712334
1972,11.917213114754095
1973,12.096164383561652
1974,11.155068493150683
1975,12.520000000000001
1976,11.480327868852452
1977,12.373150684931499
1978,12.449589041095901
1979,12.506849315068486
1980,10.824316939890705
1981,11.226575342465743
1982,12.558630136986299
1983,12.454246575342468
1984,11.596994535519121
1985,11.617808219178084
1986,11.306027397260278
1987,11.986027397260276
1988,12.121311475409827
1989,13.011232876712327
1990,12.838904109589038
1991,12.397534246575345
1992,12.501092896174868
1993,12.084657534246578
1994,13.612328767123286
1995,12.266849315068496
1996,12.257923497267763
1997,12.956712328767129
1998,13.835890410958905
1999,13.256986301369865
2000,12.713661202185781
2001,12.859726027397251
2002,12.914246575342471
2003,12.869589041095885
2004,13.351639344262292
2005,12.139452054794514
2006,13.06191780821918
2007,13.282739726027385
2008,12.964207650273226
2009,12.953424657534242
2010,12.140821917808205
2011,12.082191780821923
2012,12.26857923497268
2013,12.563561643835621
2014,13.400273972602738
2015,13.621917808219173
2016,13.592896174863387
2017,13.073150684931496
2018,13.00246575342465
2019,-1.7764705882352942
